tid	2	1
ENSMUST00000020741.10	71428.57143	0
ENCODE-mouseT000008453	142857.1429	0
ENSMUST00000020637.8	0	142857.1429
ENCODE-mouseT000008457	0	142857.1429
ENCODE-mouseT000008458	0	142857.1429
ENCODE-mouseT000008459	0	142857.1429
ENCODE-mouseT000008460	71428.57143	0
ENCODE-mouseT000008461	71428.57143	0
ENCODE-mouseT000008462	71428.57143	0
ENSMUST00000105344.6	71428.57143	0
ENCODE-mouseT000008451	285714.2857	285714.2857
ENCODE-mouseT000008452	71428.57143	0
ENCODE-mouseT000008454	71428.57143	0
ENCODE-mouseT000008455	71428.57143	0
ENCODE-mouseT000008456	0	142857.1429
